,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
177,178,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,1.982,2.506,2048.0,8192.0,13.05,13.05,13.05
178,179,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),100%,0.003,0.012,312.0,512.0,12.09,12.09,12.09
179,180,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,0.015,0.107,768.0,512.0,9.16,9.16,9.16
180,181,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),94%,1.188,1.28,768.0,512.0,7.97,7.97,7.97
181,182,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),100%,,,,,,,
182,183,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,0.304,0.427,1024.0,512.0,7.8,7.8,7.8
183,184,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,0.304,0.427,1024.0,512.0,8.47,8.47,8.47
184,185,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100%,2.36,3.003,,,,,
185,186,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),94%,0.085,0.124,768.0,512.0,5.54,5.54,5.54
186,187,baseline-random-encoder,100%,,,32.0,,1.08,1.08,1.08
187,188,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,0.302,0.559,,,,,
188,189,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),88%,0.452,0.607,2048.0,32768.0,,,
189,190,[cadet-embed-base-v1](https://huggingface.co/manveertamber/cadet-embed-base-v1),88%,0.086,0.109,768.0,512.0,,,
190,191,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),88%,0.11,0.149,768.0,8192.0,,,
191,192,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),94%,0.304,0.335,1024.0,4096.0,,,
192,193,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),88%,0.028,0.048,384.0,8192.0,,,
193,194,[Yuan-embedding-2.0-en](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-en),94%,0.44,0.596,1024.0,2048.0,,,
194,195,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,,,1536.0,8191.0,,,
195,196,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,0.114,0.137,768.0,,,,
196,197,[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),88%,0.44,0.596,1024.0,8192.0,,,
197,198,[Conan-embedding-v2](https://huggingface.co/TencentBAC/Conan-embedding-v2),88%,,,3584.0,32768.0,,,
198,199,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),94%,,,768.0,2048.0,,,
199,200,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100%,,,1024.0,16000.0,,,
200,201,[Seed1.5-Embedding](https://seed1-5-embedding.github.io/),88%,,,2048.0,32768.0,,,
201,202,[Seed1.6-embedding](https://seed1-6-embedding.github.io/),88%,,,2048.0,32768.0,,,
202,203,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),⚠️ NA,0.113,0.137,768.0,8192.0,,,
203,204,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),88%,6.526,7.071,3584.0,8192.0,,,
204,205,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),94%,0.304,0.335,1024.0,512.0,,,
205,206,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,0.011,0.023,384.0,512.0,,,
206,207,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),⚠️ NA,2.442,2.725,2304.0,512.0,,,
207,208,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),94%,0.086,0.109,768.0,512.0,,,
208,209,[KaLM-embedding-multilingual-mini-instruct-v2.5](https://huggingface.co/KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5),88%,0.358,0.494,896.0,512.0,,,
209,210,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),88%,8.322,9.24,3584.0,8192.0,,,
210,211,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),94%,0.11,0.149,768.0,8192.0,,,
211,212,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,0.303,0.336,768.0,512.0,,,
212,213,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),94%,,,768.0,2048.0,,,
213,214,[KaLM-embedding-multilingual-mini-instruct-v1.5](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1.5),88%,0.358,0.494,896.0,512.0,,,
214,215,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),100%,0.011,0.023,1024.0,512.0,,,
215,216,[gme-Qwen2-VL-7B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct),100%,7.201,7.746,3584.0,32768.0,,,
216,217,[KaLM-embedding-multilingual-mini-instruct-v2](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2),88%,0.358,0.494,896.0,512.0,,,
217,218,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),94%,0.0,0.031,1024.0,,,,
218,219,[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100%,1.976,2.209,1536.0,32768.0,,,
219,220,[GTE-ModernColBERT-v1](https://huggingface.co/lightonai/GTE-ModernColBERT-v1),94%,0.11,0.149,128.0,8192.0,,,
220,221,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,0.011,0.023,768.0,512.0,,,
221,222,[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),88%,6.979,7.11,4096.0,32768.0,,,
222,223,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),88%,,6.918,2048.0,32000.0,,,
223,224,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,0.303,0.336,768.0,512.0,,,
224,225,[Octen-Embedding-0.6B](https://huggingface.co/Octen/Octen-Embedding-0.6B),94%,0.44,0.596,1024.0,32768.0,,,
225,226,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,
226,227,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,0.198,0.223,768.0,512.0,,,
227,228,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),88%,6.979,7.11,4096.0,32768.0,,,
228,229,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),94%,6.979,7.11,8000.0,32768.0,,,
229,230,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,
230,231,[cde-small-v2](https://huggingface.co/jxm/cde-small-v1),94%,,0.306,768.0,512.0,,,
231,232,[PIXIE-Rune-v1.0](https://huggingface.co/telepix/PIXIE-Rune-v1.0),94%,0.312,0.568,1024.0,6144.0,,,
232,233,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),94%,6.979,7.11,4000.0,32768.0,,,
233,234,[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),94%,6.98,7.111,4096.0,32768.0,,,
234,235,[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),94%,6.98,7.111,4096.0,32768.0,,,
235,236,[cde-small-v1](https://huggingface.co/jxm/cde-small-v1),94%,,0.281,768.0,512.0,,,
236,237,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised),94%,7.022,7.547,4096.0,8192.0,,,
237,238,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),94%,0.312,0.568,1024.0,8192.0,,,
238,239,[F2LLM-4B](https://huggingface.co/codefuse-ai/F2LLM-4B),88%,3.634,4.022,2560.0,8192.0,,,
239,240,[Tarka-Embedding-350M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-350M-V1),94%,0.287,0.354,1024.0,128000.0,,,
240,241,[mxbai-embed-2d-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1),⚠️ NA,0.304,0.335,768.0,512.0,,,
241,242,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),94%,7.111,7.242,4096.0,32768.0,,,
242,243,[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),88%,1.409,1.721,2048.0,8192.0,,,
243,244,[bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/Kowshik24/bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2),100%,0.086,0.278,768.0,128.0,,,
244,245,[Titan-text-embeddings-v2](https://huggingface.co/amazon/Titan-text-embeddings-v2),⚠️ NA,,,,,,,
245,246,[LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised),94%,6.516,6.647,4096.0,32768.0,,,
246,247,[Tarka-Embedding-150M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-150M-V1),94%,0.106,0.156,768.0,2048.0,,,
247,248,[ember-v1](https://huggingface.co/llmrails/ember-v1),⚠️ NA,0.304,0.335,1024.0,512.0,,,
248,248,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),94%,0.022,0.033,512.0,512.0,,,
249,250,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,0.043,0.066,768.0,512.0,,,
250,251,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),94%,0.11,0.149,768.0,8192.0,,,
251,252,[ColBERT-Zero](https://huggingface.co/lightonai/ColBERT-Zero),100%,0.11,0.149,128.0,8192.0,,,
252,253,[voyage-4-nano](https://huggingface.co/voyageai/voyage-4-nano),100%,0.191,0.346,2048.0,32000.0,,,
253,254,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,,3.227,2048.0,4096.0,,,
254,255,[ColBERT-Zero-unsupervised](https://huggingface.co/lightonai/ColBERT-Zero-unsupervised),100%,0.11,0.149,128.0,8192.0,,,
255,256,[PwC-Embedding_expr](https://huggingface.co/SamilPwC-AXNode-GenAI/PwC-Embedding_expr),94%,0.304,0.56,1024.0,514.0,,,
256,257,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),94%,3.634,4.022,2560.0,32768.0,,,
257,258,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),100%,,,1024.0,32000.0,,,
258,259,[LLM2Vec-Sheared-LLaMA-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised),94%,1.229,1.295,4096.0,32768.0,,,
259,260,[Octen-Embedding-4B](https://huggingface.co/Octen/Octen-Embedding-4B),94%,3.634,4.022,2560.0,32768.0,,,
260,261,[gemini-embedding-2-preview](https://ai.google.dev/gemini-api/docs/embeddings),94%,,,3072.0,2048.0,,,
261,262,[Octen-Embedding-8B-INT8](https://huggingface.co/Octen/Octen-Embedding-8B-INT8),94%,6.946,7.567,1024.0,32768.0,,,
262,263,[Octen-Embedding-4B-INT8](https://huggingface.co/Octen/Octen-Embedding-4B-INT8),94%,3.634,4.022,1024.0,32768.0,,,
263,264,[e5-base-trm-nl](https://huggingface.co/clips/e5-base-trm-nl),94%,0.086,0.124,768.0,514.0,,,
264,265,[e5-large-trm-nl](https://huggingface.co/clips/e5-large-trm-nl),94%,0.304,0.355,1024.0,514.0,,,
265,266,[e5-small-trm-nl](https://huggingface.co/clips/e5-small-trm-nl),94%,0.022,0.041,384.0,512.0,,,
266,266,[voyage-4-large (embed_dim=2048)](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,2048.0,32000.0,,,
267,268,[voyage-4-large](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,
268,269,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100%,0.093,0.109,768.0,512.0,,,
269,270,[voyage-4](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,
270,271,[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),100%,0.113,0.137,30522.0,8192.0,,,
271,272,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),⚠️ NA,,,1536.0,128000.0,,,
272,273,[miniac-embed](https://huggingface.co/ManiacLabs/miniac-embed),100%,0.021,0.033,1024.0,512.0,,,
273,274,[ColBERT-Zero-supervised](https://huggingface.co/lightonai/ColBERT-Zero-supervised),100%,0.11,0.149,128.0,8192.0,,,
274,275,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,
275,276,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100%,0.313,0.335,1024.0,512.0,,,
276,276,[voyage-4-lite](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,
277,278,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,0.043,0.066,30522.0,512.0,,,
278,279,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,0.012,0.024,384.0,512.0,,,
279,280,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,
280,281,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100%,0.023,0.033,512.0,512.0,,,
281,282,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,0.043,0.066,30522.0,512.0,,,
282,283,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,0.011,0.023,30522.0,512.0,,,
283,284,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100%,1.209,1.242,768.0,512.0,,,
284,285,[Hakim](https://huggingface.co/MCINext/Hakim),100%,,0.124,768.0,512.0,,,
285,286,[Tooka-SBERT-V2-Small](https://huggingface.co/PartAI/Tooka-SBERT-V2-Small),⚠️ NA,0.086,0.123,768.0,512.0,,,
286,287,[Tooka-SBERT-V2-Large](https://huggingface.co/PartAI/Tooka-SBERT-V2-Large),⚠️ NA,0.304,0.353,1024.0,512.0,,,
287,288,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100%,4.833,4.866,768.0,512.0,,,
288,289,[Hakim-unsup](https://huggingface.co/MCINext/Hakim-unsup),100%,,0.124,768.0,512.0,,,
289,290,[Hakim-small](https://huggingface.co/MCINext/Hakim-small),100%,,0.039,512.0,512.0,,,
290,291,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100%,7.022,7.547,4096.0,8192.0,,,
291,292,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100%,,,1024.0,512.0,,,
292,293,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100%,0.086,0.135,768.0,768.0,,,
293,293,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),100%,0.086,0.102,768.0,512.0,,,
294,295,[Tooka-SBERT](https://huggingface.co/PartAI/Tooka-SBERT),⚠️ NA,0.304,0.353,1024.0,512.0,,,
295,295,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100%,0.086,0.11,768.0,512.0,,,
296,297,[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl),100%,4.833,4.866,768.0,512.0,,,
297,298,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100%,6.516,6.647,4096.0,32768.0,,,
298,299,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100%,1.209,1.242,768.0,512.0,,,
299,300,[fabert](https://huggingface.co/sbunlp/fabert),100%,0.086,0.124,768.0,512.0,,,
300,301,[potion-retrieval-32M](https://huggingface.co/minishlab/potion-retrieval-32M),94%,0.0,0.032,512.0,,,,
301,302,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),100%,1.229,1.295,4096.0,32768.0,,,
302,303,[potion-base-32M](https://huggingface.co/minishlab/potion-base-32M),94%,0.0,0.032,512.0,,,,
303,304,[bert-base-parsbert-uncased](https://huggingface.co/HooshvareLab/bert-base-parsbert-uncased),100%,0.086,0.163,768.0,512.0,,,
304,305,[bert-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/bert-zwnj-wnli-mean-tokens),100%,0.086,0.118,768.0,512.0,,,
305,306,[TookaBERT-Base](https://huggingface.co/PartAI/TookaBERT-Base),100%,0.086,0.123,768.0,512.0,,,
306,307,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),⚠️ NA,0.0,0.128,256.0,,,,
307,308,[roberta-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/roberta-zwnj-wnli-mean-tokens),100%,0.086,0.118,768.0,514.0,,,
308,309,[sentence-transformer-parsbert-fa](https://huggingface.co/myrkur/sentence-transformer-parsbert-fa),100%,0.086,0.163,768.0,512.0,,,
309,310,[Yuan-embedding-2.0-zh](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-zh),100%,0.306,0.327,1792.0,512.0,,,
310,311,[QZhou-Embedding-Zh](http://huggingface.co/Kingsoft-LLM/QZhou-Embedding-Zh),100%,6.953,7.576,1792.0,8192.0,,,
311,312,[Ops-MoA-Yuan-embedding-1.0](https://huggingface.co/OpenSearch-AI/Ops-MoA-Yuan-embedding-1.0),94%,0.322,0.343,1536.0,512.0,,,
312,313,[Ops-MoA-Conan-embedding-v1](https://huggingface.co/OpenSearch-AI/Ops-MoA-Conan-embedding-v1),94%,0.322,0.343,1536.0,512.0,,,
313,313,[voyage-finance-2](https://blog.voyageai.com/2024/06/03/domain-specific-embeddings-finance-edition-voyage-finance-2/),100%,,,1024.0,32000.0,,,
314,315,[Conan-embedding-v1](https://huggingface.co/TencentBAC/Conan-embedding-v1),⚠️ NA,0.304,0.326,768.0,512.0,,,
315,316,[ritrieve_zh_v1](https://huggingface.co/richinfoai/ritrieve_zh_v1),88%,0.304,0.326,1792.0,512.0,,,
316,317,[Youtu-Embedding](https://huggingface.co/tencent/Youtu-Embedding),100%,2.41,2.673,2048.0,8192.0,,,
317,318,[XYZ-embedding](https://huggingface.co/fangxq/XYZ-embedding),100%,0.304,0.326,768.0,512.0,,,
318,319,[xiaobu-embedding-v2](https://huggingface.co/lier007/xiaobu-embedding-v2),⚠️ NA,0.304,0.326,768.0,512.0,,,
319,320,[zpoint_large_embedding_zh](https://huggingface.co/iampanda/zpoint_large_embedding_zh),94%,0.304,0.326,1792.0,512.0,,,
320,320,[C2LLM-7B](https://huggingface.co/codefuse-ai/C2LLM-7B),94%,7.122,7.667,3584.0,32768.0,,,
321,322,[gte-large-zh](https://huggingface.co/thenlper/gte-large-zh),⚠️ NA,0.304,0.326,1024.0,512.0,,,
322,322,[text-embedding-3-large (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,
323,324,[xiaobu-embedding](https://huggingface.co/lier007/xiaobu-embedding),⚠️ NA,0.304,0.326,1024.0,512.0,,,
324,325,[Qodo-Embed-1-7B](https://huggingface.co/Qodo/Qodo-Embed-1-7B),⚠️ NA,6.526,7.069,3584.0,32768.0,,,
325,326,[piccolo-large-zh-v2](https://huggingface.co/sensenova/piccolo-large-zh-v2),⚠️ NA,,,1024.0,512.0,,,
326,327,[LateOn-Code](https://huggingface.co/lightonai/LateOn-Code),94%,0.11,0.149,128.0,8192.0,,,
327,328,[Yinka](https://huggingface.co/Classical/Yinka),⚠️ NA,0.304,0.326,1024.0,512.0,,,
328,329,[piccolo-base-zh](https://huggingface.co/sensenova/piccolo-base-zh),⚠️ NA,0.086,0.102,768.0,512.0,,,
329,330,[Zhinao-ChineseModernBert-Embedding](https://huggingface.co/qihoo360/Zhinao-ChineseModernBert-Embedding),100%,0.11,0.227,768.0,512.0,,,
330,331,[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/),100%,,,1536.0,16000.0,,,
331,332,[voyage-multimodal-3](https://huggingface.co/voyageai/voyage-multimodal-3),100%,,,1024.0,32768.0,,,
332,333,[stella-large-zh-v3-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,0.306,0.327,1792.0,512.0,,,
333,334,[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),⚠️ NA,1.31,1.543,1536.0,32768.0,,,
334,335,[stella-mrl-large-zh-v3.5-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,0.304,0.326,1792.0,512.0,,,
335,336,[xlm-roberta-ua-distilled](https://github.com/panalexeu/xlm-roberta-ua-distilled/tree/main),100%,0.086,0.278,768.0,512.0,,,
336,337,[text-embedding-3-small (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,
337,338,[stella-base-zh-v3-1792d](https://huggingface.co/infgrad/stella-base-zh-v3-1792d),100%,0.088,0.104,1792.0,512.0,,,
338,339,[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1024.0,4000.0,,,
339,339,[voyage-large-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1536.0,16000.0,,,
340,341,[C2LLM-0.5B](https://huggingface.co/codefuse-ai/C2LLM-0.5B),94%,0.361,0.497,896.0,32768.0,,,
341,342,[EmbeddingGemma-Scandi-300m](https://huggingface.co/emillykkejensen/EmbeddingGemma-Scandi-300m),94%,0.106,0.308,768.0,2048.0,,,
342,343,[mmBERTscandi-base-embedding](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),100%,0.11,0.307,768.0,8192.0,,,
343,344,[nb-sbert-base](https://huggingface.co/NbAiLab/nb-sbert-base),100%,0.086,0.178,4096.0,75.0,,,
344,345,[dfm-sentence-encoder-large](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large),100%,0.304,0.355,1024.0,512.0,,,
345,346,[gte-base-zh](https://huggingface.co/thenlper/gte-base-zh),⚠️ NA,0.086,0.102,1024.0,512.0,,,
346,347,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),⚠️ NA,0.058,0.074,768.0,1024.0,,,
347,348,[dfm-sentence-encoder-medium](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-medium),100%,0.086,0.124,768.0,512.0,,,
348,349,[LateOn-Code-edge](https://huggingface.co/lightonai/LateOn-Code-edge),94%,0.004,0.017,48.0,7999.0,,,
349,350,[LateOn-Code-pretrain](https://huggingface.co/lightonai/LateOn-Code-pretrain),100%,0.11,0.149,128.0,8192.0,,,
350,350,[Qwen3-Embedding-Scandi-0.6B](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),94%,0.44,0.596,1024.0,32768.0,,,
351,352,[bge-large-zh](https://huggingface.co/BAAI/bge-large-zh),100%,0.313,0.335,1024.0,512.0,,,
352,353,[m2v-dfm-large](https://huggingface.co/rasgaard/m2v-dfm-large),100%,0.0,0.023,256.0,,,,
353,354,[bge-base-zh](https://huggingface.co/BAAI/bge-base-zh),100%,0.093,0.109,768.0,512.0,,,
354,355,[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh),100%,0.023,0.033,512.0,512.0,,,
355,356,[model2vecdk-stem](https://huggingface.co/andersborges/model2vecdk-stem),100%,0.0,0.049,256.0,,,,
356,357,[m3e-base](https://huggingface.co/moka-ai/m3e-base),94%,0.086,0.102,768.0,512.0,,,
357,358,[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh),⚠️ NA,0.019,0.03,1024.0,512.0,,,
358,359,[m3e-large](https://huggingface.co/moka-ai/m3e-large),94%,0.304,0.326,768.0,512.0,,,
359,360,[model2vecdk](https://huggingface.co/andersborges/model2vecdk),100%,0.0,0.048,256.0,,,,
360,361,[xlm-roberta-large](https://huggingface.co/FacebookAI/xlm-roberta-large),100%,0.304,0.56,1024.0,512.0,,,
361,362,[xlm-roberta-base](https://huggingface.co/FacebookAI/xlm-roberta-base),100%,0.086,0.278,768.0,512.0,,,
362,363,[sbert-chinese-general-v1](https://huggingface.co/DMetaSoul/sbert-chinese-general-v1),100%,0.086,0.102,128.0,512.0,,,
363,364,[LateOn-Code-edge-pretrain](https://huggingface.co/lightonai/LateOn-Code-edge-pretrain),100%,0.004,0.017,48.0,7999.0,,,
364,365,[BiCA-base](https://huggingface.co/bisectgroup/BiCA-base),100%,0.086,0.109,768.0,512.0,,,
365,366,[english_code_retriever](https://huggingface.co/fyaronskiy/english_code_retriever),100%,0.11,0.149,768.0,8192.0,,,
366,367,[Hinvec](https://huggingface.co/Sailesh97/Hinvec),94%,0.872,0.94,2048.0,2048.0,,,
367,368,[cai-stellaris-text-embeddings](https://huggingface.co/consciousAI/cai-stellaris-text-embeddings),⚠️ NA,,,768.0,514.0,,,
368,369,[colbertv2.0](https://huggingface.co/colbert-ir/colbertv2.0),100%,0.086,0.109,,180.0,,,
369,370,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,0.0,0.008,256.0,,,,
370,371,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,0.0,0.001,64.0,,,,
371,372,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,0.0,0.002,64.0,,,,
372,373,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,0.239,0.272,1024.0,2048.0,,,
373,374,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,0.0,0.001,64.0,,,,
374,375,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,0.0,0.0,64.0,,,,
